【0030】Completed. 成功backup683頁，有6頁遺失.,Backed up,Lost,
"[2306] 網站downjor但係仍然有方法backup,睇下面step 1",684,7,691
"STEP 1 [UPDATED 2306]: 用 ARCHIVE.ORG BACKUP
(用其他網站例如 archive.is, archive.today 也可，但最好 archive.org)

1. 先上 Google 搜尋 URL 
2. 之後按“頁庫” （按一下睇screen cap)
3. copy link 落去 archive.org，按 save 
(URL will start with ""https://webcache.googleusercontent.com"")
4. copy archive.org link 去 COLUMN C
","Step2: 如果已經 backup , mark Yes)。失敗就No",Step3: 如已經upload上網，可以貼埋link到呢到   <<<要hyper link定點? (Archive results link),98.99%
,,,
URL,HAS BACKUP?,,
https://www.thestandnews.com/politics/%E7%AD%94%E5%95%8F%E5%A4%A7%E6%9C%83-%E7%94%B0%E5%8C%97%E8%BE%B0%E6%89%B9%E7%84%A1%E8%A6%96%E5%AD%B8%E7%94%9F%E5%AE%B6%E9%95%B7%E8%8B%A6%E6%B3%81-%E6%A2%81%E6%8C%AF%E8%8B%B1%E8%87%AA%E8%A8%80%E8%B2%B7%E5%85%AD%E7%99%BE%E5%B9%BE%E8%9A%8Atsa%E6%A8%A1%E6%93%AC%E8%A9%A6%E9%A1%8C,yes,https://web.archive.org/web/20210704091147/https://www.thestandnews.com/politics/%E7%AD%94%E5%95%8F%E5%A4%A7%E6%9C%83-%E7%94%B0%E5%8C%97%E8%BE%B0%E6%89%B9%E7%84%A1%E8%A6%96%E5%AD%B8%E7%94%9F%E5%AE%B6%E9%95%B7%E8%8B%A6%E6%B3%81-%E6%A2%81%E6%8C%AF%E8%8B%B1%E8%87%AA%E8%A8%80%E8%B2%B7%E5%85%AD%E7%99%BE%E5%B9%BE%E8%9A%8Atsa%E6%A8%A1%E6%93%AC%E8%A9%A6%E9%A1%8C,
https://www.thestandnews.com/society/%E5%AD%B8%E7%94%9F%E8%87%AA%E6%AE%BA%E4%BA%8B%E4%BB%B6%E9%A0%BB%E7%94%9F-%E6%B3%9B%E6%B0%91%E7%B4%84%E6%99%A4%E5%90%B3%E5%85%8B%E5%84%89%E4%BF%83%E5%8A%A0%E5%BC%B7%E6%94%AF%E6%8F%B4,yes,https://web.archive.org/web/20210629033701/https://www.thestandnews.com/society/%E5%AD%B8%E7%94%9F%E8%87%AA%E6%AE%BA%E4%BA%8B%E4%BB%B6%E9%A0%BB%E7%94%9F-%E6%B3%9B%E6%B0%91%E7%B4%84%E6%99%A4%E5%90%B3%E5%85%8B%E5%84%89%E4%BF%83%E5%8A%A0%E5%BC%B7%E6%94%AF%E6%8F%B4/,
https://www.thestandnews.com/politics/%E4%B8%80%E5%B8%B6%E4%B8%80%E8%B7%AF-%E8%A8%AA%E4%BA%AC%E5%9C%98%E7%88%86%E5%A4%9C%E8%92%B2%E9%86%9C%E8%81%9E-%E6%B6%89%E4%BA%8B%E5%9C%98%E5%93%A1-%E8%AD%9A%E6%83%A0%E7%8F%A0%E5%85%88%E5%BE%8C%E8%BE%AD%E4%BB%BB,YES,https://web.archive.org/web/20211229101757/https://www.thestandnews.com/politics/%E4%B8%80%E5%B8%B6%E4%B8%80%E8%B7%AF-%E8%A8%AA%E4%BA%AC%E5%9C%98%E7%88%86%E5%A4%9C%E8%92%B2%E9%86%9C%E8%81%9E-%E6%B6%89%E4%BA%8B%E5%9C%98%E5%93%A1-%E8%AD%9A%E6%83%A0%E7%8F%A0%E5%85%88%E5%BE%8C%E8%BE%AD%E4%BB%BB,
https://www.thestandnews.com/society/%E4%B8%8A%E5%8D%8A%E5%B9%B4%E6%95%B4%E9%AB%94%E7%BD%AA%E6%A1%88%E9%80%BE2-8%E8%90%AC%E5%AE%97-%E9%9B%BB%E8%A9%B1%E9%A8%99%E6%A1%88%E5%9B%9E%E5%8D%87,yes,/web/20211229102428/https://www.thestandnews.com/society/%E4%B8%8A%E5%8D%8A%E5%B9%B4%E6%95%B4%E9%AB%94%E7%BD%AA%E6%A1%88%E9%80%BE2-8%E8%90%AC%E5%AE%97-%E9%9B%BB%E8%A9%B1%E9%A8%99%E6%A1%88%E5%9B%9E%E5%8D%87,
https://www.thestandnews.com/international/%E7%89%B9%E6%9C%97%E6%99%AE%E6%92%A4-%E8%BF%BD%E5%A4%A2%E8%80%85-%E6%94%BF%E7%AD%96-80%E8%90%AC%E5%B9%B4%E8%BC%95%E9%9D%9E%E6%B3%95%E7%A7%BB%E6%B0%91%E5%8F%97%E5%BD%B1%E9%9F%BF-%E5%A5%A7%E5%B7%B4%E9%A6%AC%E6%96%A5%E9%81%95%E7%BE%8E%E5%9C%8B%E7%B2%BE%E7%A5%9E,yes,https://web.archive.org/web/20211229101819/https://www.thestandnews.com/international/%E7%89%B9%E6%9C%97%E6%99%AE%E6%92%A4-%E8%BF%BD%E5%A4%A2%E8%80%85-%E6%94%BF%E7%AD%96-80%E8%90%AC%E5%B9%B4%E8%BC%95%E9%9D%9E%E6%B3%95%E7%A7%BB%E6%B0%91%E5%8F%97%E5%BD%B1%E9%9F%BF-%E5%A5%A7%E5%B7%B4%E9%A6%AC%E6%96%A5%E9%81%95%E7%BE%8E%E5%9C%8B%E7%B2%BE%E7%A5%9E,
https://www.thestandnews.com/society/%E6%9E%97%E9%84%AD80%E8%90%AC%E5%85%AC%E5%B1%8B%E5%A4%A0%E7%94%A8%E7%B4%94%E4%BC%B0%E8%A8%88-%E9%BB%83%E9%81%A0%E8%BC%9D-%E4%B8%8D%E4%BB%A3%E8%A1%A8%E5%85%AC%E7%87%9F%E6%88%BF%E5%B1%8B%E5%B0%81%E9%A0%82-%E5%A4%AA%E5%A4%9A%E7%B6%A0%E7%BD%AE%E5%B1%85%E6%9C%AA%E5%BF%85%E8%83%BD%E5%90%B8%E7%B4%8D,yes,/web/20211229102103/https://www.thestandnews.com/society/%E6%9E%97%E9%84%AD80%E8%90%AC%E5%85%AC%E5%B1%8B%E5%A4%A0%E7%94%A8%E7%B4%94%E4%BC%B0%E8%A8%88-%E9%BB%83%E9%81%A0%E8%BC%9D-%E4%B8%8D%E4%BB%A3%E8%A1%A8%E5%85%AC%E7%87%9F%E6%88%BF%E5%B1%8B%E5%B0%81%E9%A0%82-%E5%A4%AA%E5%A4%9A%E7%B6%A0%E7%BD%AE%E5%B1%85%E6%9C%AA%E5%BF%85%E8%83%BD%E5%90%B8%E7%B4%8D,
https://www.thestandnews.com/society/%E9%A6%AC%E9%9B%B2%E6%8D%90%E4%BA%94%E5%8D%83%E8%90%AC%E4%BA%88%E5%9C%98%E7%B5%90%E9%A6%99%E6%B8%AF%E5%9F%BA%E9%87%91-%E6%94%AF%E6%8C%81%E9%9D%92%E5%B9%B4-%E6%95%99%E8%82%B2-%E5%89%B5%E7%A7%91%E7%99%BC%E5%B1%95,yes,https://archive.ph/Rkefq,
https://www.thestandnews.com/culture/%E5%BE%90%E4%BD%B3%E7%91%A9%E6%B2%92%E6%9C%89-%E5%94%B1%E4%B8%8D%E7%94%B1%E8%A1%B7-%E7%9A%84-%E5%BF%83%E8%A3%A1%E5%AD%B8,yes,/web/20211229102914/https://www.thestandnews.com/culture/%E5%BE%90%E4%BD%B3%E7%91%A9%E6%B2%92%E6%9C%89-%E5%94%B1%E4%B8%8D%E7%94%B1%E8%A1%B7-%E7%9A%84-%E5%BF%83%E8%A3%A1%E5%AD%B8,
https://www.thestandnews.com/politics/%E9%84%AD%E8%8B%A5%E9%A9%8A%E5%83%AD%E5%BB%BA-%E8%83%A1%E5%BF%97%E5%81%89-%E9%84%AD%E6%87%89%E8%80%83%E6%85%AE%E6%98%AF%E5%90%A6%E5%90%88%E9%81%A9%E4%BB%BB%E5%8F%B8%E9%95%B7-%E6%9D%8E%E6%85%A7%E7%90%BC-%E5%95%8F%E8%B2%AC%E5%AE%98%E5%93%A1%E9%A0%88%E5%AE%88%E6%B3%95,yes,https://archive.ph/WYKaS,
https://www.thestandnews.com/society/%E8%B6%85%E5%BC%B7%E9%A2%B1%E9%A2%A8%E8%A5%B2%E5%8F%B0-%E9%83%A8%E4%BB%BD%E6%B8%AF%E5%8F%B0%E8%88%AA%E6%A9%9F%E5%8F%96%E6%B6%88,yes,/web/20211229101948/https://www.thestandnews.com/society/%E8%B6%85%E5%BC%B7%E9%A2%B1%E9%A2%A8%E8%A5%B2%E5%8F%B0-%E9%83%A8%E4%BB%BD%E6%B8%AF%E5%8F%B0%E8%88%AA%E6%A9%9F%E5%8F%96%E6%B6%88,
